CD_NUMBER,TRACK_NUMBER,TITLE,ARTIST,DURATION,GENRE
1,2,Swim,Madonna,00:04:00,Pop
1,4,Candy Perfume Girl,Madonna,00:04:36,Electronic Pop
1,8,Shanti/Ashtangi,Madonna,00:04:29,Electronic Pop
1,11,To Have and Not to Hold,Madonna,00:05:23,Electronic Pop
2,2,You,Janet Jackson,00:04:42,Trip Hop
2,5,Together Again,Janet Jackson,00:05:01,Dance Pop
2,8,Special,Janet Jackson,00:04:57,R&B
3,1,Army of Me,Björk,00:03:54,Art Pop
3,5,It's Oh So Quiet,Björk,00:03:38,Art Pop
3,8,I Miss You,Björk,00:04:04,Art Pop
4,1,The Queen is Dead,The Smiths,00:06:24,Rock
4,3,I Know It's Over,The Smiths,00:05:49,Indie Rock
4,7,The Boy with the Thorn in His Side,The Smiths,00:03:16,Indie Rock
4,9,There Is a Light That Never Goes Out,The Smiths,00:04:03,Indie Rock
4,10,Some Girls Are Bigger Than Others,The Smiths,00:03:14,Rock
5,2,Beautiful,Christina Aguilera,00:04:00,Pop
5,4,Cruz,Christina Aguilera,00:03:49,Pop
5,10,Keep on Singin' My Song,Christina Aguilera,00:06:31,Pop
6,1,...Baby One More Time,Britney Spears,00:03:30,Pop
6,3,Sometimes,Britney Spears,00:04:05,Pop
6,6,From the Bottom of My Broken Heart,Britney Spears,00:05:11,Pop
